reference,ARI_vs_baseline,ARI_vs_archived_residualized,cumulative_variance_3PC_percent,cluster_sizes
archived_etalon,0.4071146245059289,1,89.82650903935019,11/8/6
strip_01,0.4071146245059289,1,89.8185662636081,11/8/6
strip_02,0.4071146245059289,1,89.81633738122757,11/8/6
strip_03,0.4071146245059289,1,89.8330802020062,11/8/6
strip_04,0.4071146245059289,1,89.82705030947014,11/8/6
mean_four_strips,0.4071146245059289,1,89.8237650611702,11/8/6
