wavenumber,variable,PC1,PC2,PC3,PC4,PC5
3398.17526,wn_3398.18,0.17414617298917254,0.36868574454902175,-0.15777142370407965,-0.15662578336853789,0.044556934436049696
3396.24667,wn_3396.25,0.1679372642106538,0.3648192709595144,-0.1559753368493419,-0.15756731736499524,0.04440089409625691
3394.31808,wn_3394.32,0.1603466901676099,0.36120872752305633,-0.15376934679196713,-0.15830474642414868,0.04401515132953495
3392.38949,wn_3392.39,0.15156051013115832,0.35825218534627135,-0.15132496189881073,-0.15933025581383298,0.04334765688105224
3390.46091,wn_3390.46,0.14162227181979897,0.3552160511307805,-0.14868987623902713,-0.1594700653046244,0.04255730602635889
3388.53232,wn_3388.53,0.1306408342930821,0.35209035348229784,-0.14593452814336177,-0.15961091625023,0.04183878440501623
3386.60373,wn_3386.6,0.11857256189763936,0.34817915667151805,-0.14319367830013396,-0.15931218121660978,0.041440875828328505
3384.67514,wn_3384.68,0.10587376195657572,0.3441410231521736,-0.14037176050725148,-0.15890096228976183,0.04104379406269977
3382.74655,wn_3382.75,0.09285993899104762,0.3403212886106709,-0.13748343820009698,-0.1584052112269392,0.0404650612685874
3380.81796,wn_3380.82,0.07972465600220634,0.33677348870709684,-0.13456869334728583,-0.15789887141929362,0.039704568628454895
3378.88937,wn_3378.89,0.066387523720896,0.33333503588739316,-0.1317451380865557,-0.15742891382373822,0.039049578564282844
3376.96078,wn_3376.96,0.05317773110399794,0.33065182788422376,-0.12890357780008002,-0.1581297917932485,0.03831495103371974
3375.03219,wn_3375.03,0.0401113333321473,0.3280225190164447,-0.12624303654017927,-0.1588657561400992,0.037592790636891645
3373.1036,wn_3373.1,0.02700670301927588,0.3243265005330184,-0.12386683549585206,-0.15837457829554674,0.03733722114980804
3371.17501,wn_3371.18,0.014295137806057122,0.32042948221534673,-0.12139851675311045,-0.15793115109352426,0.03729080257516679
3369.24642,wn_3369.25,0.002218048087160312,0.3169469613335248,-0.11873090587188836,-0.1574722718567444,0.03702171411523307
3367.31783,wn_3367.32,-0.009108371919435624,0.31367894739140173,-0.11608670953182468,-0.15697559151151813,0.03659306094192979
3365.38924,wn_3365.39,-0.0197909997386382,0.3107044364167303,-0.11351490514777407,-0.15685294963752855,0.036087345102991074
3363.46065,wn_3363.46,-0.03006174800455681,0.30727886271236804,-0.11112810111039673,-0.15608134970374793,0.03565083190806241
3361.53206,wn_3361.53,-0.03983987621161942,0.30372425660396674,-0.10881194674021363,-0.15536250984888958,0.03535009935960909
3359.60347,wn_3359.6,-0.048921407084843084,0.3001987486947914,-0.10641954620244998,-0.1553434050591857,0.0349804333470333
3357.67488,wn_3357.67,-0.05730325997405523,0.29639030825569745,-0.10412352844350561,-0.15466784940148925,0.034609822789267726
3355.74629,wn_3355.75,-0.0648192646849535,0.29303020267821367,-0.10182369148779181,-0.1547253901631283,0.03381240564386106
3353.8177,wn_3353.82,-0.07184345320957984,0.28962642089013846,-0.09973973671634541,-0.15429265101535203,0.03305733330511845
3351.88911,wn_3351.89,-0.07868439839985722,0.28612888999143715,-0.09803580284213173,-0.15373391906017142,0.03249478341783748
3349.96052,wn_3349.96,-0.085502527799784,0.2824630129432491,-0.09660422213759103,-0.1532876988724132,0.0322059885821847
