domain,PC,lower,upper,n_points,mean_loading,median_loading,min_loading,max_loading,max_abs_loading,prop_positive,prop_negative,direction_class,axis_context,domain_level_interpretation
D1,PC2,876,1127,130,-0.2017652159107148,-0.20488289135859855,-0.37172533886354814,-0.00346963630450223,-0.37172533886354814,0,1,predominantly negative,Caries-related adult dimension (caries_factor eta2 = 0.197); caries-free category H on the negative pole,toward the caries-free-associated adult spectral pole
D2,PC2,1150,1313,84,-0.11203118474787405,-0.10493204491756015,-0.2266036714288208,-0.03024186305318884,-0.2266036714288208,0,1,predominantly negative,Caries-related adult dimension (caries_factor eta2 = 0.197); caries-free category H on the negative pole,toward the caries-free-associated adult spectral pole
D3,PC4,1382,1413,16,0.03470402043162924,0.03604809128106451,0.01329883305448034,0.05465040266221428,0.05465040266221428,1,0,predominantly positive,Mixed clinical/developmental adult dimension (caries eta2 = 0.449; anamnesis = 0.239; age = 0.199; periodontal = 0.132); younger and non-gingivitis categories tend toward the positive pole,toward the positive PC4 pole (younger/non-gingivitis-associated direction within a mixed clinical-developmental axis)
D4,PC4,1477,1706,119,0.01343411209151058,0.01538059607375804,-0.08036705969765832,0.1005748047811221,0.1005748047811221,0.5798319327731093,0.4201680672268907,mixed,Mixed clinical/developmental adult dimension (caries eta2 = 0.449; anamnesis = 0.239; age = 0.199; periodontal = 0.132); younger and non-gingivitis categories tend toward the positive pole,no unidirectional adult-reference interpretation
D5,PC5,2942,3092,78,-0.03593548011529739,-0.0529282375123619,-0.05954281486223636,0.04145655229847471,-0.05954281486223636,0.16666666666666666,0.8333333333333334,predominantly negative,Adult dimension with caries/periodontal/anamnesis contributions (eta2 = 0.276/0.176/0.151); moderate-periodontitis category M on the positive pole (n = 1),toward the pole opposite the moderate-periodontitis-associated adult direction
