cluster,n,mean_rho,median_rho,sd_rho,min_rho,max_rho
1,15,0.9797431129615133,0.9738413642076359,0.01162876202152161,0.9619997385719813,0.9971536495053034
2,4,0.8840697883828743,0.8888852592810557,0.058113968303079196,0.8110842544195148,0.947424380549871
3,6,0.8301982144479151,0.8511432975910409,0.11568489251924,0.6403229810340517,0.9442380099976004
