PC,n_F,n_M,mean_F,mean_M,median_F,median_M,wilcoxon_W,p_value,hodges_lehmann_F_minus_M,hodges_lehmann_ci_lower,hodges_lehmann_ci_upper,rank_biserial_F_vs_M,rank_biserial_ci_lower,rank_biserial_ci_upper,hedges_g_F_minus_M,hedges_g_ci_lower,hedges_g_ci_upper
PC1,12,13,-3.574854982510321,3.299866137701835,-2.8366457910506173,1.7365744957135734,34,0.015971770859373496,-6.0890326317723025,-12.598880038732354,-1.2330508542760432,-0.5641025641025641,-0.8974358974358975,-0.17948717948717952,-1.174310839417874,-2.076261057121073,-0.5822163275566001
PC2,12,13,-1.1423562230172948,1.0544826674005792,-0.5474115190037493,-0.23502073662287504,62,0.40590427475337953,-1.3065521900161523,-6.606111480625295,2.8263483081000214,-0.20512820512820518,-0.641025641025641,0.26923076923076916,-0.39600910788633975,-1.1514075434409414,0.3973891641663161
PC3,12,13,-0.6315856074977845,0.583002099228723,-0.6955626547958731,0.527618778399933,58,0.29453723823625555,-1.301353396258655,-3.5758070861413573,0.9533934253838984,-0.2564102564102564,-0.6794871794871795,0.20512820512820507,-0.4253273893492264,-1.3263510264265868,0.28887771785739036
