wavenumber,mean_absorbance,sd_absorbance,cv_percent
3399.00806,0.0323875,2.8767748144985743e-4,0.8882361449628944
3397.0779000000002,0.0325525,2.933001875212484e-4,0.9010066431802425
3395.14775,0.0327,2.952964612046685e-4,0.9030472819714632
3393.21759,0.0328425,2.978114616106407e-4,0.906786820767727
3391.28743,0.033002500000000004,2.978114616106407e-4,0.9023906116525737
3389.35727,0.0331575,3.034660881658232e-4,0.9152260820804439
3387.42711,0.033295000000000005,3.1085902485424683e-4,0.9336507729516348
3385.49696,0.033445,3.055595959328851e-4,0.9136181669394082
3383.5668,0.033604999999999996,2.9422213830143163e-4,0.8755308385699498
3381.63664,0.0337625,2.9781146161064287e-4,0.8820776352777279
3379.70648,0.0339275,3.0412442629073266e-4,0.8963950373317594
3377.77632,0.034095,3.077336510685822e-4,0.9025770672197747
3375.84617,0.0342775,3.109528367239431e-4,0.9071631149411219
3373.91601,0.03447,3.127299154222372e-4,0.9072524381265946
3371.98585,0.03467,3.127299154222372e-4,0.9020187926802341
3370.05569,0.0348575,3.1020154738492235e-4,0.8899133540412317
3368.12554,0.035050000000000005,3.194787421201389e-4,0.9114942713841336
3366.19538,0.0352325,3.237668914512417e-4,0.9189438485808322
3364.2652200000002,0.035445,3.200520790954696e-4,0.9029540953462255
3362.33506,0.035652500000000004,3.158454263296107e-4,0.8858998003775631
3360.4049,0.035865,3.183813227352792e-4,0.887721518849238
3358.47475,0.036082500000000003,3.27146756059112e-4,0.9066632191758109
3356.54459,0.0363025,3.339036787258663e-4,0.9197814991415642
3354.61443,0.03651,3.369470779415258e-4,0.9228898327623274
3352.68427,0.0367275,3.3440245214411666e-4,0.9104960918769768
3350.75411,0.0369375,3.3440245214411927e-4,0.9053196673952468
3348.82396,0.037145,3.380828300875418e-4,0.9101704942456369
3346.8938,0.037332500000000005,3.40036762718386e-4,0.9108330883771137
3344.96364,0.037512500000000004,3.40036762718386e-4,0.9064625464002293
3343.03348,0.037665000000000004,3.410278580995989e-4,0.9054237570678317
3341.10332,0.0378,3.482336380458766e-4,0.9212530107033772
3339.17317,0.03791,3.41565025531987e-4,0.900989252260583
3337.24301,0.038020000000000005,3.3694707794152713e-4,0.8862363964795558
