strip_1,strip_2,pearson_r,spearman_rho
strip_01,strip_02,0.9999991238701557,0.9999958490075912
strip_01,strip_03,0.9999903325179526,0.9999822469862572
strip_02,strip_03,0.9999889915461593,0.9999835644756442
strip_01,strip_04,0.9999968743920695,0.9999947059801574
strip_02,strip_04,0.9999949922739956,0.9999920288907702
strip_03,strip_04,0.9999960518203193,0.9999880944707062
