cluster,n,healthy_mean,healthy_sd,clean_strip_mean,clean_strip_sd
1,15,15.60108576481446,3.2792273973729023,5.421245065176258,2.3070336952167394
2,4,5.987159832458217,2.490424134589921,14.691464470055902,3.7700172290622684
3,6,16.33857966541745,4.89817055790212,16.670231115201187,4.113278960499444
