PC,eigenvalue,variance_percent,cumulative_variance_percent
1,95.13341398296382,47.81643929668032,47.81643929668032
2,75.16264063587427,37.77862785400599,85.5950671506863
3,16.807677072385253,8.447959941749133,94.04302709243544
4,4.7509338743202685,2.3879384928271232,96.43096558526256
5,2.4214932541874092,1.2171032274412852,97.64806881270384
6,1.6333906347431615,0.8209830895793243,98.46905190228317
7,1.2158456921444065,0.6111145316719565,99.08016643395513
8,0.898891100345845,0.45180520633591803,99.53197164029105
9,0.4185254114022646,0.21036136611283918,99.74233300640388
10,0.24713621911474748,0.12421686055992473,99.86654986696381
