strip,pearson_r,spearman_rho
strip_01,0.9999962472094309,0.9999893217281648
strip_02,0.9999956222809083,0.9999896586203619
strip_03,0.9999982398924877,0.999996095662796
strip_04,0.99999817249801215,0.9999926485357529
