baseline_cluster,mean_Jaccard,median_Jaccard,min_Jaccard,q025_Jaccard,q975_Jaccard,max_Jaccard
1,0.7676411062192022,0.7894736842105263,0.4444444444444444,0.5333333333333333,1,1
2,0.5469156222690278,0.4444444444444444,0.15789473684210525,0.21052631578947367,1,1
3,0.8273487137862138,1,0.25,0.45429292929292925,1,1
