k,average_silhouette,calinski_harabasz,davies_bouldin,smallest_cluster,largest_cluster,cluster_sizes
2,0.4376790349403968,17.64630410871155,0.8975678104256992,6,19,19/6
3,0.43424880431781065,21.111927430986817,0.7422319633909878,4,15,15/4/6
4,0.36517649166244204,21.253315478017043,0.7595869330875746,4,8,8/7/4/6
5,0.37779022438403126,23.369372231882124,0.7996162997676388,3,8,8/7/4/3/3
6,0.3944694501568509,26.213446712965183,0.6138324578758976,1,8,8/7/4/3/2/1
