vip_region,start,end,n_variables,mean_VIP,max_VIP
0,876.29,1127.21,131,1.548394391080932,1.659089387433707
1,1150.37,1312.51,85,1.2630292197791906,1.5671806288245893
2,1381.99,1412.88,17,1.0660064656534813,1.1024213321083358
3,1476.57,1706.26,120,1.2066988081263146,1.373917501376689
4,2941.56,3092.11,79,1.1471909657566657,1.2751535238644094
