domain,PC,lower,upper,n_points,mean_loading,median_loading,min_loading,max_loading,max_abs_loading,prop_positive,prop_negative,direction_class
D1,PC2,876,1127,130,-0.20176521591071478,-0.20488289135859855,-0.37172533886354814,-0.003469636304502234,-0.37172533886354814,0,1,predominantly negative
D2,PC2,1150,1313,84,-0.11203118474787403,-0.10493204491756017,-0.22660367142882082,-0.030241863053188843,-0.22660367142882082,0,1,predominantly negative
D3,PC4,1382,1413,16,0.03470402043162924,0.03604809128106451,0.013298833054480343,0.054650402662214284,0.054650402662214284,1,0,predominantly positive
D4,PC4,1477,1706,119,0.013434112091510589,0.015380596073758046,-0.08036705969765832,0.1005748047811221,0.1005748047811221,0.5798319327731093,0.42016806722689076,mixed
D5,PC5,2942,3092,78,-0.03593548011529739,-0.052928237512361906,-0.05954281486223636,0.04145655229847471,-0.05954281486223636,0.16666666666666666,0.8333333333333334,predominantly negative
