reference,PC1,PC2,PC3,PC4,PC5,distance_to_four_strip_centroid
etalon,-4.963569175341355,-4.255470435619105,-0.37990280306362495,0.6116244428081085,-0.4788736596464677,0.027317912416528287
strip_01,-4.9895465240057275,-4.285264186069691,-0.3576877385372448,0.6352003204981505,-0.44254822066709404,0.03777706988963527
strip_02,-5.00462488596476,-4.2950440157342,-0.36737418893869767,0.641929689761095,-0.4435287850128254,0.05354020575283915
strip_03,-4.939656606144678,-4.23141078979096,-0.3825074213450391,0.5891396965488881,-0.5002815939057024,0.0695077238329761
strip_04,-4.955903679950315,-4.252540439776029,-0.34582286222178227,0.6046855946922347,-0.4666521102885364,0.030744122554082754
