metric,k2,k3,k3_minus_k2
Average silhouette,0.4376790349403968,0.43424880431781065,-0.003430230622586128
Calinski-Harabasz,17.64630410871155,21.111927430986817,3.465623322275267
Davies-Bouldin,0.8975678104256992,0.7422319633909878,-0.15533584703471137
