wavenumber,variable,PC2,PC4,PC5
3398.17526,wn_3398.18,0.36868574454902175,-0.15662578336853789,0.044556934436049696
3396.24667,wn_3396.25,0.3648192709595144,-0.15756731736499524,0.04440089409625691
3394.31808,wn_3394.32,0.36120872752305633,-0.15830474642414868,0.04401515132953495
3392.38949,wn_3392.39,0.35825218534627135,-0.15933025581383298,0.04334765688105224
3390.46091,wn_3390.46,0.3552160511307805,-0.1594700653046244,0.04255730602635889
3388.53232,wn_3388.53,0.35209035348229784,-0.15961091625023,0.04183878440501623
3386.60373,wn_3386.6,0.34817915667151805,-0.15931218121660978,0.041440875828328505
3384.67514,wn_3384.68,0.3441410231521736,-0.15890096228976183,0.04104379406269977
3382.74655,wn_3382.75,0.3403212886106709,-0.1584052112269392,0.0404650612685874
3380.81796,wn_3380.82,0.33677348870709684,-0.15789887141929362,0.039704568628454895
3378.88937,wn_3378.89,0.33333503588739316,-0.15742891382373822,0.039049578564282844
3376.96078,wn_3376.96,0.33065182788422376,-0.1581297917932485,0.03831495103371974
3375.03219,wn_3375.03,0.3280225190164447,-0.1588657561400992,0.037592790636891645
3373.1036,wn_3373.1,0.3243265005330184,-0.15837457829554674,0.03733722114980804
3371.17501,wn_3371.18,0.32042948221534673,-0.15793115109352426,0.03729080257516679
3369.24642,wn_3369.25,0.3169469613335248,-0.1574722718567444,0.03702171411523307
3367.31783,wn_3367.32,0.31367894739140173,-0.15697559151151813,0.03659306094192979
3365.38924,wn_3365.39,0.3107044364167303,-0.15685294963752855,0.036087345102991074
3363.46065,wn_3363.46,0.30727886271236804,-0.15608134970374793,0.03565083190806241
3361.53206,wn_3361.53,0.30372425660396674,-0.15536250984888958,0.03535009935960909
3359.60347,wn_3359.6,0.3001987486947914,-0.1553434050591857,0.0349804333470333
3357.67488,wn_3357.67,0.29639030825569745,-0.15466784940148925,0.034609822789267726
3355.74629,wn_3355.75,0.29303020267821367,-0.1547253901631283,0.03381240564386106
3353.8177,wn_3353.82,0.28962642089013846,-0.15429265101535203,0.03305733330511845
3351.88911,wn_3351.89,0.28612888999143715,-0.15373391906017142,0.03249478341783748
3349.96052,wn_3349.96,0.2824630129432491,-0.1532876988724132,0.0322059885821847
3348.03193,wn_3348.03,0.2785015844428932,-0.15287694917396302,0.032127468345675696
3346.10334,wn_3346.1,0.2742085094090702,-0.15258833372910718,0.03227997717593905
3344.17475,wn_3344.17,0.2704423736466493,-0.15362541258346868,0.03227171188993839
3342.24616,wn_3342.25,0.26684641092181216,-0.154163388879554,0.03204008202154365
3340.31757,wn_3340.32,0.26267784000049055,-0.1534330751918125,0.031806579482416816
3338.38898,wn_3338.39,0.2582156497421492,-0.1526293568418756,0.0316132003757203
3336.46039,wn_3336.46,0.2537381389922676,-0.15275618077787584,0.03121777925571908
3334.5318,wn_3334.53,0.2489510426975649,-0.15287019832565157,0.030895645745346652
3332.60321,wn_3332.6,0.24382231809433447,-0.1528076028966064,0.030737139834632488
3330.67462,wn_3330.67,0.23845912542163483,-0.15189909972612856,0.030582245606585835
3328.74603,wn_3328.75,0.23375432453084155,-0.151579833863406,0.029932003421306586
3326.81744,wn_3326.82,0.2293844858524418,-0.15103126294092425,0.029329462452011835
3324.88885,wn_3324.89,0.22468743571474245,-0.14985546918316073,0.0287912973146616
3322.96026,wn_3322.96,0.22020412445624507,-0.14961342318467014,0.02817420038790939
3321.03167,wn_3321.03,0.21595027167982464,-0.1492843312680839,0.027418984559776136
3319.10308,wn_3319.1,0.2119792001704928,-0.14954911370226734,0.026697348582848647
3317.17449,wn_3317.17,0.20795897353873133,-0.14989824653089198,0.026089212852548057
3315.2459,wn_3315.25,0.20449139799496135,-0.15102754345152608,0.025361583844438644
3313.31731,wn_3313.32,0.20089951725423127,-0.15159076715115946,0.024381729630639514
3311.38872,wn_3311.39,0.19771093186285602,-0.15250350377105157,0.0231604352065596
3309.46013,wn_3309.46,0.19457576484181713,-0.1532913427597231,0.021791245432289618
3307.53154,wn_3307.53,0.191538348371629,-0.15366483466973066,0.020446690329812004
3305.60295,wn_3305.6,0.1884389426964175,-0.15369797109681801,0.019304287872083624
3303.67436,wn_3303.67,0.185038002364021,-0.1530710586035161,0.018289796245601474
3301.74577,wn_3301.75,0.18246715414852907,-0.1534062605245821,0.0171804606065109
3299.81718,wn_3299.82,0.180512707255013,-0.15393190803120604,0.015950550879848695
3297.88859,wn_3297.89,0.17853631783318033,-0.15329198555273102,0.014739704306959719
3295.96,wn_3295.96,0.1765087184734116,-0.15184594666922166,0.013432845372676543
3294.03141,wn_3294.03,0.17490341152848382,-0.15091742907096756,0.011914319055787085
3292.10282,wn_3292.1,0.17336195403629162,-0.15062257634433043,0.010547819110992555
3290.17423,wn_3290.17,0.17193778271884932,-0.15036912985310405,0.00916913304793693
3288.24564,wn_3288.25,0.17108202778999027,-0.15039407999094886,0.007854443028916162
3286.31705,wn_3286.32,0.17040916528902364,-0.1500310979802195,0.006546598701343937
3284.38846,wn_3284.39,0.1699034759307133,-0.14942169165033706,0.0052610287614358415
3282.45988,wn_3282.46,0.16947925091641364,-0.14886814284555583,0.004103349882854283
3280.53129,wn_3280.53,0.16946022925287174,-0.14804490256720704,0.0031313898887519375
3278.6027,wn_3278.6,0.17024314241443123,-0.14820117370740615,0.002244067032122782
3276.67411,wn_3276.67,0.17100226764182228,-0.14752599796117455,0.0016696957289603904
3274.74552,wn_3274.75,0.17275856655328678,-0.1472372199906255,7.462120600013291e-4
3272.81693,wn_3272.82,0.17539807612307057,-0.1469816241550603,-3.871162049230445e-4
3270.88834,wn_3270.89,0.17851366171625446,-0.14591096877736595,-0.0014577011900119563
3268.95975,wn_3268.96,0.18188890393900603,-0.14445917795359947,-0.002421542688359708
3267.03116,wn_3267.03,0.18528877975507693,-0.14272568822934661,-0.003140293730757675
3265.10257,wn_3265.1,0.18860695596434005,-0.14077436570199886,-0.003485815640396724
3263.17398,wn_3263.17,0.19208255703285143,-0.1386855271605757,-0.003808667548038174
3261.24539,wn_3261.25,0.19557955757223866,-0.13630747620335779,-0.003981227066994992
3259.3168,wn_3259.32,0.19937638667011706,-0.13454401314951844,-0.00428977270975554
3257.38821,wn_3257.39,0.20289858220043688,-0.13225795342466803,-0.004520444632542456
3255.45962,wn_3255.46,0.20640695872365797,-0.12998279793893003,-0.0044547205570405115
3253.53103,wn_3253.53,0.2103183137023875,-0.12832443168816396,-0.004416021117460662
3251.60244,wn_3251.6,0.21387356203312877,-0.12625636572029494,-0.004271500946540046
3249.67385,wn_3249.67,0.21749617989318396,-0.12516719042658583,-0.004512293572711301
3247.74526,wn_3247.75,0.22131565299023337,-0.12425563481345124,-0.005157611358390863
3245.81667,wn_3245.82,0.22443962361725972,-0.12201211843835455,-0.005613183095112324
3243.88808,wn_3243.89,0.22703910109037068,-0.1191477602772415,-0.005855483049516897
3241.95949,wn_3241.96,0.22946060928906048,-0.11692648741635814,-0.005907301193566943
3240.0309,wn_3240.03,0.2317251439993624,-0.11546641079620676,-0.005769466956040572
3238.10231,wn_3238.1,0.2338104453822938,-0.1141988919583225,-0.005734020707673526
3236.17372,wn_3236.17,0.23611808989003372,-0.11304388822061444,-0.006125415036495782
3234.24513,wn_3234.25,0.2381250334161859,-0.11061099851214398,-0.006712360030789506
3232.31654,wn_3232.32,0.2403548902096289,-0.10826209080738532,-0.007585968573331245
3230.38795,wn_3230.39,0.24248156998539241,-0.10601370219976393,-0.008495063367521236
3228.45936,wn_3228.46,0.24454835566940117,-0.1040138273892822,-0.00941187070034646
3226.53077,wn_3226.53,0.2468001543827291,-0.10258477934774281,-0.010382796799854505
3224.60218,wn_3224.6,0.24934439695328664,-0.1017159928975039,-0.011501571366493891
3222.67359,wn_3222.67,0.2516854085301827,-0.09995797945679445,-0.012608321812739074
3220.745,wn_3220.74,0.253967901680906,-0.09740525979503202,-0.013620768702079475
3218.81641,wn_3218.82,0.2560725743614563,-0.09499207986435373,-0.014520555401097103
3216.88782,wn_3216.89,0.2576828203305919,-0.09236260521506592,-0.015391024164037433
3214.95923,wn_3214.96,0.25928423844019355,-0.08970297291628115,-0.01617603452111762
3213.03064,wn_3213.03,0.261328542765625,-0.08852807842872361,-0.017231138063939062
3211.10205,wn_3211.1,0.263099873152266,-0.08670719264624115,-0.018249385309525815
3209.17346,wn_3209.17,0.2648978411453623,-0.08497075179383269,-0.019208414734844234
3207.24487,wn_3207.24,0.2664824494930302,-0.08342247010049615,-0.020072332198909117
3205.31628,wn_3205.32,0.26789141099969516,-0.0821618459609294,-0.020908476723669862
3203.38769,wn_3203.39,0.26942111136077274,-0.08168753616907937,-0.021845602753594668
3201.4591,wn_3201.46,0.27067859703270764,-0.08043948319441314,-0.0228027860254847
