domain,lower,upper,n_VIP_gt1,max_VIP,mean_VIP
D1,876,1127,130,1.659089387433707,1.5525181997482025
D2,1150,1313,85,1.5671806288245893,1.2630292197791906
D3,1382,1413,16,1.1024213321083358,1.0699642373545197
D4,1477,1706,118,1.373917501376689,1.2098188168370794
D5,2942,3092,77,1.2751535238644094,1.1506638210260631
