iteration,baseline_cluster,Jaccard
35,2,0.8
35,3,0.5
36,1,0.6
36,2,0.3333333333333333
36,3,0.6666666666666666
37,1,1
37,2,0.8
37,3,0.8333333333333334
38,1,0.9333333333333333
38,2,0.8
38,3,1
39,1,0.75
39,2,0.5
39,3,0.5
40,1,0.9375
40,2,0.75
40,3,1
41,1,0.4666666666666667
41,2,0.3333333333333333
41,3,1
42,1,0.6666666666666666
42,2,0.36363636363636365
42,3,0.6666666666666666
43,1,0.8823529411764706
43,2,0.2222222222222222
43,3,0.625
44,1,0.5333333333333333
44,2,0.36363636363636365
44,3,1
45,1,0.9333333333333333
45,2,0.8
45,3,1
46,1,1
46,2,1
46,3,1
47,1,0.9375
47,2,0.75
47,3,1
48,1,0.6
48,2,0.4
48,3,1
49,1,0.6666666666666666
49,2,0.4444444444444444
49,3,1
50,1,0.7894736842105263
50,2,0.75
50,3,0.5
51,1,0.5333333333333333
51,2,0.3076923076923077
51,3,0.6666666666666666
52,1,0.6666666666666666
52,2,0.3333333333333333
52,3,0.5
53,1,0.6666666666666666
53,2,0.4444444444444444
53,3,1
54,1,0.9375
54,2,0.75
54,3,1
55,1,0.7894736842105263
55,2,0.21052631578947367
55,3,0.8333333333333334
56,1,0.9375
56,2,0.75
56,3,1
57,1,0.6666666666666666
57,2,0.4444444444444444
57,3,1
58,1,0.6
58,2,0.3076923076923077
58,3,0.5
59,1,0.9375
59,2,0.75
59,3,1
60,1,1
60,2,1
60,3,1
61,1,0.8125
61,2,0.5714285714285714
61,3,0.6666666666666666
62,1,0.6
62,2,0.4
62,3,1
63,1,0.9375
63,2,0.6666666666666666
63,3,0.5
64,1,0.6
64,2,0.3333333333333333
64,3,0.6666666666666666
65,1,1
65,2,1
65,3,1
66,1,1
66,2,1
66,3,1
67,1,0.8823529411764706
67,2,0.2222222222222222
67,3,0.625
68,1,0.625
68,2,0.4
68,3,0.6666666666666666
69,1,0.6666666666666666
69,2,0.4444444444444444
69,3,1
70,1,0.6
70,2,0.4
70,3,1
71,1,1
71,2,1
71,3,1
72,1,0.5333333333333333
72,2,0.36363636363636365
72,3,1
73,1,0.8666666666666667
73,2,0.4444444444444444
73,3,0.5
74,1,1
74,2,1
74,3,1
75,1,0.8823529411764706
75,2,1
75,3,0.6666666666666666
76,1,0.8823529411764706
76,2,0.2222222222222222
76,3,0.625
77,1,0.8
77,2,0.5714285714285714
77,3,1
78,1,1
78,2,1
78,3,1
79,1,0.8823529411764706
79,2,0.2857142857142857
79,3,0.5
80,1,0.5333333333333333
80,2,0.36363636363636365
80,3,1
81,1,1
81,2,1
81,3,1
82,1,0.6666666666666666
82,2,0.4444444444444444
82,3,1
83,1,0.5333333333333333
83,2,0.2857142857142857
83,3,0.5
84,1,0.8333333333333334
84,2,0.15789473684210525
84,3,0.5
85,1,0.5263157894736842
85,2,0.2857142857142857
85,3,1
86,1,0.6666666666666666
86,2,0.4444444444444444
86,3,1
87,1,0.6666666666666666
87,2,0.4444444444444444
87,3,1
88,1,0.8823529411764706
88,2,0.5
88,3,1
89,1,1
89,2,1
89,3,1
90,1,1
90,2,1
90,3,1
91,1,0.8
91,2,0.5
91,3,0.8333333333333334
92,1,0.7894736842105263
92,2,0.21052631578947367
92,3,0.8333333333333334
93,1,1
93,2,0.8
93,3,0.8333333333333334
94,1,0.6666666666666666
94,2,0.36363636363636365
94,3,0.6666666666666666
95,1,0.5333333333333333
95,2,0.36363636363636365
95,3,1
96,1,0.8333333333333334
96,2,0.75
96,3,0.6666666666666666
97,1,0.8
97,2,0.5714285714285714
97,3,1
98,1,0.7333333333333333
98,2,0.5
98,3,1
99,1,0.6666666666666666
99,2,0.4444444444444444
99,3,1
100,1,1
100,2,1
100,3,1
101,1,0.8333333333333334
101,2,0.6
101,3,0.5
102,1,1
102,2,1
102,3,1
103,1,0.9375
103,2,0.75
103,3,1
104,1,0.6
104,2,0.36363636363636365
104,3,0.8333333333333334
105,1,0.6666666666666666
105,2,0.4444444444444444
105,3,1
106,1,1
106,2,1
106,3,1
107,1,0.4666666666666667
107,2,0.26666666666666666
107,3,0.5
108,1,0.6666666666666666
108,2,0.3333333333333333
108,3,0.5
109,1,0.5333333333333333
109,2,0.36363636363636365
109,3,1
110,1,0.9375
110,2,0.75
110,3,1
111,1,0.5333333333333333
111,2,0.3076923076923077
111,3,0.6666666666666666
112,1,0.6666666666666666
112,2,0.3333333333333333
112,3,0.5
113,1,0.8
113,2,0.5714285714285714
113,3,1
114,1,0.7333333333333333
114,2,0.36363636363636365
114,3,0.5
115,1,0.6666666666666666
115,2,0.3333333333333333
115,3,0.5
116,1,0.9333333333333333
116,2,0.8
116,3,1
117,1,0.7894736842105263
117,2,0.21052631578947367
117,3,0.8333333333333334
118,1,0.7894736842105263
118,2,0.21052631578947367
118,3,0.8333333333333334
119,1,0.9375
119,2,0.75
119,3,1
120,1,0.9375
120,2,0.75
120,3,1
121,1,1
121,2,1
121,3,1
122,1,0.8823529411764706
122,2,0.2857142857142857
122,3,0.5
123,1,0.8666666666666667
123,2,0.6666666666666666
123,3,1
124,1,0.6666666666666666
124,2,0.4444444444444444
124,3,1
125,1,0.9333333333333333
125,2,0.4
125,3,0.45454545454545453
126,1,0.6
126,2,0.4
126,3,1
127,1,0.625
127,2,0.36363636363636365
127,3,0.5
128,1,0.5333333333333333
128,2,0.36363636363636365
128,3,1
129,1,1
129,2,1
129,3,1
130,1,0.5333333333333333
130,2,0.36363636363636365
130,3,1
131,1,0.9375
131,2,0.75
131,3,1
132,1,0.5333333333333333
132,2,0.3076923076923077
132,3,0.6666666666666666
133,1,1
133,2,1
133,3,1
134,1,0.8823529411764706
134,2,0.2222222222222222
134,3,0.625
135,1,0.9375
135,2,0.75
135,3,1
136,1,0.8823529411764706
136,2,0.75
136,3,0.8333333333333334
137,1,0.8823529411764706
137,2,1
137,3,0.6666666666666666
138,1,0.6666666666666666
138,2,0.4444444444444444
138,3,1
139,1,0.7333333333333333
139,2,0.36363636363636365
139,3,0.5
140,1,0.8823529411764706
140,2,0.2222222222222222
140,3,0.625
141,1,0.8666666666666667
141,2,0.5714285714285714
141,3,0.8333333333333334
142,1,0.5333333333333333
142,2,0.2857142857142857
142,3,0.5
143,1,0.5333333333333333
143,2,0.36363636363636365
143,3,1
144,1,0.5333333333333333
144,2,0.2857142857142857
144,3,0.5
145,1,0.6666666666666666
145,2,0.4444444444444444
145,3,1
146,1,0.7333333333333333
146,2,0.4444444444444444
146,3,0.8333333333333334
147,1,1
147,2,1
147,3,1
148,1,0.6
148,2,0.36363636363636365
148,3,0.8333333333333334
149,1,1
149,2,1
149,3,1
150,1,0.5333333333333333
150,2,0.2727272727272727
150,3,0.8571428571428571
151,1,1
151,2,1
151,3,1
152,1,1
152,2,1
152,3,1
153,1,0.5333333333333333
153,2,0.36363636363636365
153,3,1
154,1,1
154,2,1
154,3,1
155,1,1
155,2,1
155,3,1
156,1,0.8333333333333334
156,2,0.75
156,3,0.6666666666666666
157,1,1
157,2,1
157,3,1
158,1,0.9333333333333333
158,2,0.8
158,3,1
159,1,0.8333333333333334
159,2,0.15789473684210525
159,3,0.7142857142857143
160,1,0.6666666666666666
160,2,0.3333333333333333
160,3,0.5
161,1,0.8823529411764706
161,2,1
161,3,0.6666666666666666
162,1,0.8823529411764706
162,2,0.25
162,3,0.5
163,1,0.8235294117647058
163,2,0.8
163,3,0.6666666666666666
164,1,0.6666666666666666
164,2,0.36363636363636365
164,3,0.6666666666666666
165,1,0.5333333333333333
165,2,0.36363636363636365
165,3,1
166,1,0.7894736842105263
166,2,0.21052631578947367
166,3,0.8333333333333334
167,1,0.5333333333333333
167,2,0.36363636363636365
167,3,1
168,1,0.5333333333333333
168,2,0.36363636363636365
168,3,1
169,1,0.8823529411764706
169,2,0.2222222222222222
169,3,0.625
170,1,1
170,2,1
170,3,1
171,1,0.6
171,2,0.4
171,3,1
172,1,1
172,2,1
172,3,1
173,1,0.8823529411764706
173,2,0.2857142857142857
173,3,0.5
174,1,0.8666666666666667
174,2,0.4444444444444444
174,3,0.5
175,1,0.9375
175,2,0.75
175,3,1
176,1,0.9375
176,2,0.8
176,3,0.6666666666666666
177,1,0.5333333333333333
177,2,0.2857142857142857
177,3,0.5
178,1,0.9375
178,2,0.75
178,3,1
179,1,0.9375
179,2,1
179,3,0.8333333333333334
180,1,0.5333333333333333
180,2,0.2857142857142857
180,3,0.5
181,1,0.9375
181,2,0.75
181,3,1
182,1,0.6666666666666666
182,2,0.4444444444444444
182,3,1
183,1,0.6
183,2,0.3076923076923077
183,3,0.5
184,1,0.7333333333333333
184,2,0.3076923076923077
184,3,0.35714285714285715
185,1,0.6666666666666666
185,2,0.4444444444444444
185,3,1
186,1,0.7333333333333333
186,2,0.36363636363636365
186,3,0.5
187,1,0.6666666666666666
187,2,0.4444444444444444
187,3,1
188,1,0.5333333333333333
188,2,0.2857142857142857
188,3,0.5
189,1,1
189,2,1
189,3,1
190,1,0.5333333333333333
190,2,0.36363636363636365
190,3,1
191,1,0.5333333333333333
191,2,0.2857142857142857
191,3,0.5
192,1,0.9375
192,2,0.8
192,3,0.6666666666666666
193,1,0.6
193,2,0.4
193,3,1
194,1,0.6666666666666666
194,2,0.4444444444444444
194,3,1
195,1,0.9375
195,2,0.75
195,3,1
196,1,0.8333333333333334
196,2,0.75
196,3,0.6666666666666666
197,1,0.6
197,2,0.3333333333333333
197,3,0.6666666666666666
198,1,0.631578947368421
198,2,0.25
198,3,1
199,1,0.7333333333333333
199,2,0.5
199,3,1
200,1,0.6666666666666666
200,2,0.3333333333333333
200,3,0.5
201,1,0.6
201,2,0.4
201,3,1
202,1,0.5333333333333333
202,2,0.36363636363636365
202,3,1
203,1,1
203,2,1
203,3,1
204,1,0.5333333333333333
204,2,0.36363636363636365
204,3,1
205,1,0.6
205,2,0.4
205,3,1
206,1,0.6666666666666666
206,2,0.4444444444444444
206,3,1
207,1,1
207,2,1
207,3,1
208,1,0.6
208,2,0.3076923076923077
208,3,0.5
209,1,0.6666666666666666
209,2,0.4444444444444444
209,3,1
210,1,0.6
210,2,0.3076923076923077
210,3,0.5
211,1,1
211,2,0.5714285714285714
211,3,0.5
212,1,0.8823529411764706
212,2,0.2857142857142857
212,3,0.5
213,1,0.7333333333333333
213,2,0.36363636363636365
213,3,0.5
214,1,1
214,2,1
214,3,1
215,1,0.6
215,2,0.3076923076923077
215,3,0.5
216,1,0.6
216,2,0.4
216,3,1
217,1,0.7333333333333333
217,2,0.4
217,3,0.6666666666666666
218,1,0.6666666666666666
218,2,0.4
218,3,0.8333333333333334
219,1,0.6
219,2,0.3076923076923077
219,3,0.5
220,1,0.5333333333333333
220,2,0.3076923076923077
220,3,0.6666666666666666
221,1,0.9375
221,2,0.75
221,3,1
222,1,0.6
222,2,0.3076923076923077
222,3,0.5
223,1,0.6
223,2,0.4
223,3,1
224,1,0.6
224,2,0.3076923076923077
224,3,0.5
225,1,0.9375
225,2,0.75
225,3,1
226,1,0.8235294117647058
226,2,0.8
226,3,0.6666666666666666
227,1,1
227,2,0.4444444444444444
227,3,0.5
228,1,0.8823529411764706
228,2,0.2222222222222222
228,3,0.625
229,1,0.6
229,2,0.3076923076923077
229,3,0.5
230,1,0.5333333333333333
230,2,0.36363636363636365
230,3,1
231,1,0.5333333333333333
231,2,0.2857142857142857
231,3,0.5
232,1,0.8823529411764706
232,2,0.2857142857142857
232,3,0.5
233,1,0.6
233,2,0.3076923076923077
233,3,0.5
234,1,0.5333333333333333
234,2,0.3076923076923077
234,3,0.6666666666666666
235,1,0.9375
235,2,0.75
235,3,1
236,1,0.9375
236,2,0.6666666666666666
236,3,0.5
237,1,1
237,2,1
237,3,1
238,1,1
238,2,1
238,3,1
239,1,0.5333333333333333
239,2,0.3076923076923077
239,3,0.6666666666666666
240,1,0.9375
240,2,0.75
240,3,1
241,1,0.8823529411764706
241,2,0.2222222222222222
241,3,0.625
242,1,0.9375
242,2,0.75
242,3,1
243,1,0.9333333333333333
243,2,0.8
243,3,1
244,1,1
244,2,1
244,3,1
245,1,0.6666666666666666
245,2,0.3333333333333333
245,3,0.5
246,1,0.8333333333333334
246,2,0.15789473684210525
246,3,0.5
247,1,0.8823529411764706
247,2,0.5
247,3,1
248,1,0.5333333333333333
248,2,0.2857142857142857
248,3,0.5
249,1,1
249,2,1
249,3,1
250,1,0.6666666666666666
250,2,0.4444444444444444
250,3,1
251,1,1
251,2,1
251,3,1
252,1,0.6666666666666666
252,2,0.4444444444444444
252,3,1
253,1,0.5333333333333333
253,2,0.36363636363636365
253,3,1
254,1,1
254,2,1
254,3,1
255,1,0.6666666666666666
255,2,0.4444444444444444
255,3,1
256,1,0.5333333333333333
256,2,0.36363636363636365
256,3,1
257,1,0.6666666666666666
257,2,0.4444444444444444
257,3,1
258,1,0.6666666666666666
258,2,0.3333333333333333
258,3,0.5
259,1,0.6666666666666666
259,2,0.4444444444444444
259,3,1
260,1,0.5333333333333333
260,2,0.36363636363636365
260,3,1
261,1,0.6
261,2,0.4
261,3,1
262,1,0.9375
262,2,0.75
262,3,1
263,1,0.8333333333333334
263,2,0.75
263,3,0.6666666666666666
264,1,0.9375
264,2,0.8
264,3,0.6666666666666666
265,1,0.6
265,2,0.3333333333333333
265,3,0.6666666666666666
266,1,1
266,2,1
266,3,1
267,1,0.7894736842105263
267,2,0.21052631578947367
267,3,0.8333333333333334
268,1,1
268,2,1
268,3,1
269,1,0.5333333333333333
269,2,0.2857142857142857
269,3,0.5
270,1,1
270,2,1
270,3,1
271,1,0.8666666666666667
271,2,0.6666666666666666
271,3,1
272,1,0.9375
272,2,1
272,3,0.8333333333333334
273,1,0.8823529411764706
273,2,0.75
273,3,0.8333333333333334
274,1,0.7894736842105263
274,2,0.75
274,3,0.5
275,1,0.5333333333333333
275,2,0.3333333333333333
275,3,0.8333333333333334
276,1,0.8823529411764706
276,2,0.2857142857142857
276,3,0.5
277,1,0.6
277,2,0.3333333333333333
277,3,0.6666666666666666
278,1,0.6
278,2,0.3076923076923077
278,3,0.5
279,1,0.6
279,2,0.26666666666666666
279,3,0.3125
280,1,0.8823529411764706
280,2,0.2857142857142857
280,3,0.5
281,1,0.5333333333333333
281,2,0.36363636363636365
281,3,1
282,1,0.5333333333333333
282,2,0.2857142857142857
282,3,0.5
283,1,1
283,2,1
283,3,1
284,1,1
284,2,1
284,3,1
285,1,0.6
285,2,0.4
285,3,1
286,1,0.9375
286,2,0.75
286,3,1
287,1,0.5333333333333333
287,2,0.36363636363636365
287,3,1
288,1,1
288,2,1
288,3,1
289,1,0.6
289,2,0.3076923076923077
289,3,0.5
290,1,0.5333333333333333
290,2,0.36363636363636365
290,3,1
291,1,0.9375
291,2,0.75
291,3,1
292,1,0.5333333333333333
292,2,0.36363636363636365
292,3,1
293,1,0.5333333333333333
293,2,0.3076923076923077
293,3,0.6666666666666666
294,1,0.6
294,2,0.4
294,3,1
295,1,0.8823529411764706
295,2,0.2222222222222222
295,3,0.625
296,1,0.7142857142857143
296,2,0.19047619047619047
296,3,0.5
297,1,1
297,2,1
297,3,1
298,1,0.47619047619047616
298,2,0.25
298,3,0.6666666666666666
299,1,0.8823529411764706
299,2,0.8
299,3,0.5
300,1,0.5333333333333333
300,2,0.2857142857142857
300,3,0.5
301,1,0.6
301,2,0.3076923076923077
301,3,0.5
302,1,0.8823529411764706
302,2,0.2857142857142857
302,3,0.5
303,1,0.6
303,2,0.3076923076923077
303,3,0.5
304,1,1
304,2,1
304,3,1
305,1,0.6
305,2,0.36363636363636365
305,3,0.8333333333333334
306,1,1
306,2,1
306,3,1
307,1,1
307,2,1
307,3,1
308,1,0.6
308,2,0.3333333333333333
308,3,0.6666666666666666
309,1,1
309,2,1
309,3,1
310,1,0.9333333333333333
310,2,0.8
310,3,1
311,1,0.8823529411764706
311,2,0.8
311,3,0.5
312,1,1
312,2,1
312,3,1
313,1,0.6666666666666666
313,2,0.36363636363636365
313,3,0.6666666666666666
314,1,0.9375
314,2,0.75
314,3,1
315,1,0.6666666666666666
315,2,0.4444444444444444
315,3,1
316,1,0.7333333333333333
316,2,0.5
316,3,1
317,1,0.9375
317,2,0.3333333333333333
317,3,0.5555555555555556
318,1,1
318,2,1
318,3,1
319,1,0.6
319,2,0.4
319,3,1
320,1,1
320,2,1
320,3,1
321,1,0.8823529411764706
321,2,0.2857142857142857
321,3,0.5
322,1,0.6666666666666666
322,2,0.4444444444444444
322,3,1
323,1,0.5333333333333333
323,2,0.2
323,3,0.75
324,1,1
324,2,0.8
324,3,0.8333333333333334
325,1,0.5333333333333333
325,2,0.3076923076923077
325,3,0.6666666666666666
326,1,0.9375
326,2,0.75
326,3,1
327,1,0.8
327,2,0.4
327,3,0.5
328,1,1
328,2,1
328,3,1
329,1,0.9375
329,2,0.42857142857142855
329,3,0.5
330,1,0.6
330,2,0.4
330,3,1
331,1,0.6666666666666666
331,2,0.3333333333333333
331,3,0.5
332,1,1
332,2,1
332,3,1
333,1,1
333,2,1
333,3,1
334,1,0.6666666666666666
334,2,0.3333333333333333
334,3,0.5
335,1,0.5333333333333333
335,2,0.36363636363636365
335,3,1
336,1,0.9375
336,2,0.6666666666666666
336,3,0.5
337,1,0.9375
337,2,0.3333333333333333
337,3,0.5555555555555556
338,1,0.8823529411764706
338,2,0.2222222222222222
338,3,0.625
339,1,0.5333333333333333
339,2,0.36363636363636365
339,3,1
340,1,0.6
340,2,0.3333333333333333
340,3,0.6666666666666666
341,1,0.8333333333333334
341,2,0.75
341,3,0.6666666666666666
342,1,0.47058823529411764
342,2,0.5
342,3,0.4
343,1,0.6
343,2,0.36363636363636365
343,3,0.8333333333333334
344,1,0.6
344,2,0.3076923076923077
344,3,0.5
345,1,0.6
345,2,0.3
345,3,0.6666666666666666
346,1,0.9375
346,2,0.75
346,3,1
347,1,0.5333333333333333
347,2,0.2857142857142857
347,3,0.5
348,1,0.7894736842105263
348,2,0.21052631578947367
348,3,0.8333333333333334
349,1,0.7333333333333333
349,2,0.36363636363636365
349,3,0.5
350,1,1
350,2,0.5714285714285714
350,3,0.5
351,1,0.9333333333333333
351,2,0.6666666666666666
351,3,0.8333333333333334
352,1,0.8823529411764706
352,2,1
352,3,0.6666666666666666
353,1,1
353,2,1
353,3,1
354,1,0.7894736842105263
354,2,0.21052631578947367
354,3,0.8333333333333334
355,1,0.6
355,2,0.3076923076923077
355,3,0.5
356,1,1
356,2,1
356,3,1
357,1,1
357,2,1
357,3,1
358,1,0.5333333333333333
358,2,0.36363636363636365
358,3,1
359,1,0.9375
359,2,0.75
359,3,1
360,1,0.5333333333333333
360,2,0.36363636363636365
360,3,1
361,1,0.6
361,2,0.4
361,3,1
362,1,0.5333333333333333
362,2,0.2
362,3,0.75
363,1,0.8823529411764706
363,2,0.5
363,3,1
364,1,0.7333333333333333
364,2,0.5
364,3,1
365,1,0.9375
365,2,0.8
365,3,0.6666666666666666
366,1,0.5333333333333333
366,2,0.36363636363636365
366,3,1
367,1,0.6
367,2,0.3333333333333333
367,3,0.6666666666666666
368,1,0.7333333333333333
368,2,0.5
368,3,1
369,1,1
369,2,1
369,3,1
370,1,0.5294117647058824
370,2,0.5
370,3,0.2857142857142857
371,1,0.8823529411764706
371,2,0.75
371,3,0.8333333333333334
372,1,0.8823529411764706
372,2,0.2857142857142857
372,3,0.5
373,1,0.6
373,2,0.4
373,3,1
374,1,0.6666666666666666
374,2,0.4444444444444444
374,3,1
375,1,1
375,2,0.5714285714285714
375,3,0.5
376,1,0.8823529411764706
376,2,0.2222222222222222
376,3,0.625
377,1,0.5333333333333333
377,2,0.36363636363636365
377,3,1
378,1,0.6
378,2,0.4
378,3,1
379,1,1
379,2,0.5
379,3,0.4
380,1,0.7894736842105263
380,2,0.21052631578947367
380,3,0.8333333333333334
381,1,0.6
381,2,0.4
381,3,1
382,1,0.7894736842105263
382,2,0.21052631578947367
382,3,0.8333333333333334
383,1,0.5333333333333333
383,2,0.36363636363636365
383,3,1
384,1,0.6
384,2,0.36363636363636365
384,3,0.8333333333333334
385,1,0.7142857142857143
385,2,0.19047619047619047
385,3,0.5
386,1,0.9375
386,2,0.75
386,3,1
387,1,0.9375
387,2,0.75
387,3,1
388,1,1
388,2,1
388,3,1
389,1,0.6
389,2,0.4
389,3,1
390,1,0.7894736842105263
390,2,0.21052631578947367
390,3,0.8333333333333334
391,1,0.5555555555555556
391,2,0.4444444444444444
391,3,0.5
392,1,0.7333333333333333
392,2,0.5
392,3,1
393,1,1
393,2,1
393,3,1
394,1,0.6
394,2,0.4
394,3,1
395,1,1
395,2,0.6666666666666666
395,3,0.6666666666666666
396,1,1
396,2,1
396,3,1
397,1,0.5333333333333333
397,2,0.2727272727272727
397,3,0.8571428571428571
398,1,0.8823529411764706
398,2,0.2222222222222222
398,3,0.625
399,1,0.7368421052631579
399,2,0.8
399,3,0.3333333333333333
400,1,0.47619047619047616
400,2,0.25
400,3,0.6666666666666666
401,1,1
401,2,1
401,3,1
402,1,1
402,2,0.5714285714285714
402,3,0.5
403,1,1
403,2,0.8
403,3,0.8333333333333334
404,1,1
404,2,1
404,3,1
405,1,1
405,2,1
405,3,1
406,1,0.8333333333333334
406,2,0.75
406,3,0.6666666666666666
407,1,0.8666666666666667
407,2,0.36363636363636365
407,3,0.4166666666666667
408,1,0.6666666666666666
408,2,0.4444444444444444
408,3,1
409,1,0.6666666666666666
409,2,0.4444444444444444
409,3,1
410,1,0.6666666666666666
410,2,0.4444444444444444
410,3,1
411,1,0.5333333333333333
411,2,0.36363636363636365
411,3,1
412,1,0.9375
412,2,0.75
412,3,1
413,1,0.5333333333333333
413,2,0.36363636363636365
413,3,1
414,1,0.9375
414,2,0.8
414,3,0.6666666666666666
415,1,0.75
415,2,0.2
415,3,0.6666666666666666
416,1,0.5333333333333333
416,2,0.3076923076923077
416,3,0.6666666666666666
417,1,0.7894736842105263
417,2,0.21052631578947367
417,3,0.8333333333333334
418,1,0.6
418,2,0.36363636363636365
418,3,0.8333333333333334
419,1,0.8235294117647058
419,2,0.8
419,3,0.6666666666666666
420,1,0.7894736842105263
420,2,0.21052631578947367
420,3,0.8333333333333334
421,1,0.9375
421,2,0.75
421,3,1
422,1,0.5333333333333333
422,2,0.36363636363636365
422,3,1
423,1,1
423,2,0.4444444444444444
423,3,0.5
424,1,0.5333333333333333
424,2,0.2727272727272727
424,3,0.8571428571428571
425,1,1
425,2,1
425,3,1
426,1,0.5333333333333333
426,2,0.2857142857142857
426,3,0.5
427,1,0.6
427,2,0.3076923076923077
427,3,0.5
428,1,1
428,2,1
428,3,1
429,1,0.9333333333333333
429,2,0.8
429,3,1
430,1,0.5333333333333333
430,2,0.36363636363636365
430,3,1
431,1,0.6
431,2,0.2
431,3,0.75
432,1,1
432,2,1
432,3,1
433,1,0.875
433,2,0.6666666666666666
433,3,0.6666666666666666
434,1,0.5333333333333333
434,2,0.2857142857142857
434,3,0.5
435,1,0.47368421052631576
435,2,0.3076923076923077
435,3,1
436,1,0.5333333333333333
436,2,0.36363636363636365
436,3,1
437,1,0.7142857142857143
437,2,0.19047619047619047
437,3,0.5
438,1,0.5333333333333333
438,2,0.36363636363636365
438,3,1
439,1,0.6
439,2,0.3333333333333333
439,3,0.6666666666666666
440,1,0.8
440,2,0.5714285714285714
440,3,1
441,1,0.6
441,2,0.4
441,3,1
442,1,0.7894736842105263
442,2,0.21052631578947367
442,3,0.8333333333333334
443,1,0.7894736842105263
443,2,0.21052631578947367
443,3,0.8333333333333334
444,1,1
444,2,0.5714285714285714
444,3,0.5
445,1,0.5333333333333333
445,2,0.36363636363636365
445,3,1
446,1,1
446,2,1
446,3,1
447,1,0.5333333333333333
447,2,0.3076923076923077
447,3,0.6666666666666666
448,1,0.9375
448,2,0.75
448,3,1
449,1,0.5333333333333333
449,2,0.36363636363636365
449,3,1
450,1,0.9375
450,2,0.3333333333333333
450,3,0.5555555555555556
451,1,0.6666666666666666
451,2,0.4444444444444444
451,3,1
452,1,0.7894736842105263
452,2,0.21052631578947367
452,3,0.8333333333333334
453,1,1
453,2,1
453,3,1
454,1,0.47058823529411764
454,2,0.5714285714285714
454,3,0.3
455,1,0.6666666666666666
455,2,0.4444444444444444
455,3,1
456,1,0.5333333333333333
456,2,0.3076923076923077
456,3,0.6666666666666666
457,1,0.6
457,2,0.3076923076923077
457,3,0.5
458,1,0.7333333333333333
458,2,0.5
458,3,1
459,1,0.9333333333333333
459,2,0.8
459,3,1
460,1,0.9375
460,2,0.75
460,3,1
461,1,1
461,2,1
461,3,1
462,1,0.8
462,2,0.4
462,3,0.5
463,1,0.6
463,2,0.36363636363636365
463,3,0.8333333333333334
464,1,0.4666666666666667
464,2,0.26666666666666666
464,3,0.5
465,1,0.8823529411764706
465,2,0.2222222222222222
465,3,0.625
466,1,0.5333333333333333
466,2,0.36363636363636365
466,3,1
467,1,0.9375
467,2,0.75
467,3,1
468,1,0.7777777777777778
468,2,0.16666666666666666
468,3,0.8571428571428571
469,1,1
469,2,1
469,3,1
470,1,0.5333333333333333
470,2,0.36363636363636365
470,3,1
471,1,1
471,2,1
471,3,1
472,1,0.8823529411764706
472,2,0.2222222222222222
472,3,0.625
473,1,0.5333333333333333
473,2,0.36363636363636365
473,3,1
474,1,0.6
474,2,0.36363636363636365
474,3,0.8333333333333334
475,1,1
475,2,1
475,3,1
476,1,0.6
476,2,0.4
476,3,1
477,1,0.5333333333333333
477,2,0.3076923076923077
477,3,0.6666666666666666
478,1,0.8333333333333334
478,2,0.15789473684210525
478,3,0.5
479,1,0.7894736842105263
479,2,0.21052631578947367
479,3,0.8333333333333334
480,1,0.6
480,2,0.4
480,3,1
481,1,1
481,2,1
481,3,1
482,1,0.5333333333333333
482,2,0.2857142857142857
482,3,0.5
