k,average_silhouette,calinski_harabasz,davies_bouldin,smallest_cluster,largest_cluster,cluster_sizes
2,0.42999761036536954,17.156602282055037,0.9050567300279772,6,19,19/6
3,0.37126592298544175,20.0713031650788,0.8497216556094863,6,11,8/11/6
4,0.38465968992291055,20.114873817046224,0.7165706468874583,2,9,8/9/2/6
5,0.39279009723159136,21.31989264188804,0.7541126279127304,2,9,8/9/2/3/3
6,0.4078742858761338,22.43073270727164,0.5826981442367337,1,9,8/9/2/3/2/1
