cluster,silhouette_width
1,0.5106655796680654
1,0.07330900479967745
1,0.6097986471589211
1,0.555810369867702
1,0.4241220629693315
1,0.6291006618783495
1,0.4778244234260185
1,0.26159214338207704
1,0.5121401721472811
2,0.6286148149386354
3,0.24937737378379307
1,0.2248760435912134
2,0.48604533893600166
3,0.5128309864738029
1,0.42513709984413334
1,0.45713745423383567
2,0.6277846716109687
3,0.3654548523905004
3,0.3621031630644599
1,0.614745776896063
3,0.442559051744045
1,0.6179495193060291
3,0.14094748692885625
1,0.3321289102170092
2,0.314164498688496
