iteration,ARI
1,0.5221327967806841
2,0.8941740002227916
3,1
4,1
5,0.8586794827783499
6,0.8310547960431255
7,0.22422592718611772
8,1
9,0.7337742405559915
10,1
11,0.8425240358050613
12,0.5221327967806841
13,0.34998289428669177
14,0.618195104128608
15,1
16,1
17,1
18,0.421366792544768
19,0.6043165467625898
20,0.17264917029539836
21,1
22,0.38391699092088205
23,1
24,1
25,1
26,0.421366792544768
27,0.38041029289695244
28,0.39689377621584854
29,1
30,1
31,0.17799752781211373
32,1
33,1
34,0.19835857126343776
35,0.34998289428669177
36,0.4878078666830045
37,0.5223997318735337
38,0.41764104892723347
39,1
40,0.3319268635724332
41,0.38041029289695244
42,0.34998289428669177
43,1
44,1
45,1
46,0.8425240358050613
47,0.8510471497368126
48,0.2888737665872746
49,1
50,1
51,1
52,0.618195104128608
53,1
54,0.8627625291699078
55,0.831877004756111
56,0.3193449334698055
57,0.20548263445231735
58,0.4988864142538975
59,0.5359628770301624
60,0.34382194934765925
61,1
62,0.8425240358050613
63,1
64,0.6880814271642771
65,0.7487049487490356
66,1
67,0.6135156514860436
68,0.7337742405559915
69,0.4378032903302166
70,1
71,0.22422592718611772
72,1
73,1
74,1
75,0.3095474066732739
76,0.12756187702990254
77,0.1637323943661972
78,0.1610276407844936
79,1
80,0.3193449334698055
81,0.395118500176866
82,0.32209902294434073
83,1
84,0.3116721385712668
85,1
86,1
87,0.8510471497368126
88,1
89,1
90,0.7583766449187217
91,1
92,0.49044585987261147
93,0.8586794827783499
94,1
95,0.7693411323253504
96,0.395118500176866
97,1
98,0.20548263445231735
99,1
100,0.021166983984768697
101,1
102,0.43870014771048743
103,0.424304728925441
104,0.13013620235778875
105,0.8510471497368126
106,0.20548263445231735
107,0.403606894190161
108,1
109,1
110,0.4793569601753745
111,0.395118500176866
112,0.5631411390166254
113,0.7337742405559915
114,1
115,0.8734598734598734
116,1
117,0.41764104892723347
118,0.13013620235778875
119,0.5221327967806841
120,0.8510471497368126
121,0.41764104892723347
122,0.38391699092088205
123,0.17418923436977593
124,0.421366792544768
125,0.3319268635724332
126,0.47994637470673673
127,0.8310547960431255
128,0.29144536105774665
129,0.1324200913242009
130,1
131,0.421366792544768
132,0.4378032903302166
133,1
134,0.36310307673889625
135,0.7218781668730999
136,1
137,0.421366792544768
138,1
139,1
140,0.5052668954905906
141,0.8510471497368126
142,1
143,0.5052668954905906
144,0.22373115433306484
145,0.5359628770301624
146,0.19555154115388956
147,0.3774136922176711
148,1
149,1
150,0.34998289428669177
151,1
152,0.7337742405559915
153,0.3221548341063146
154,0.5052668954905906
155,1
156,0.8586794827783499
157,1
158,0.2584178026331119
159,0.395118500176866
160,0.2584178026331119
161,0.8425240358050613
162,0.8586794827783499
163,1
164,0.6043165467625898
165,0.1488408556389293
166,0.7093849011253142
167,0.46629213483146065
168,0.24850265566730706
169,0.6853262669758198
170,0.2595235481392029
171,0.421366792544768
172,0.4988864142538975
173,1
174,0.37271548166489804
175,0.4988864142538975
176,0.1194644696189495
177,1
178,1
179,0.19429452582883577
180,0.41764104892723347
181,1
182,1
183,0.8586794827783499
184,0.18408859758164767
185,1
186,0.6043165467625898
187,1
188,0.8586794827783499
189,0.22422592718611772
190,0.38391699092088205
191,0.468217439980097
192,1
193,0.7487049487490356
194,0.30544272948822093
195,0.421366792544768
196,1
197,1
198,0.22373115433306484
199,1
200,1
201,1
202,1
203,1
204,0.38391699092088205
205,0.34998289428669177
206,0.24735915492957747
207,0.6853262669758198
208,1
209,1
210,0.8510471497368126
211,1
212,0.421366792544768
213,0.421366792544768
214,0.8510471497368126
215,0.4878078666830045
216,0.17264917029539836
217,1
218,0.8586794827783499
219,0.21329705430024845
220,0.6043165467625898
221,0.2595235481392029
222,1
223,0.5809337091042764
224,0.14027149321266968
225,0.008769008769008838
226,0.4878078666830045
227,1
228,0.8510471497368126
229,0.1488408556389293
230,1
231,0.41684665226781864
232,0.4378032903302166
233,0.8383804014971079
234,0.7245378760420441
235,0.2911274338346741
236,0.254730041532072
237,0.14027149321266968
238,1
239,1
240,1
241,1
242,0.831877004756111
243,0.30544272948822093
244,0.7687285603629523
245,1
246,1
247,0.4612476370510397
248,0.254730041532072
249,1
250,1
251,0.7218781668730999
252,1
253,0.8510471497368126
254,0.19429452582883577
255,0.24850265566730706
256,0.3319268635724332
257,0.34998289428669177
258,0.4612476370510397
259,0.38391699092088205
260,1
261,0.34382194934765925
262,0.4378032903302166
263,1
264,1
265,0.7363552266419982
266,0.5052668954905906
267,1
268,0.4378032903302166
269,1
270,1
271,1
272,0.3774136922176711
273,0.7363552266419982
274,1
275,1
276,1
277,0.37527400263042526
278,0.7218781668730999
279,1
280,0.19429452582883577
281,0.1610276407844936
282,1
283,0.6988565606249292
284,0.395118500176866
285,0.424304728925441
286,0.14562435143548946
287,1
288,1
289,0.4878078666830045
290,0.8734598734598734
291,1
292,1
293,0.47998631542935344
294,1
295,1
296,1
297,0.6672868556418956
298,0.421366792544768
299,1
300,1
301,0.468217439980097
302,1
