domain,min_pearson,median_pearson,min_spearman,median_spearman
D1,0.9999994892472817,0.9999996596940242,0.999885288273034,0.9999207941884745
D2,0.999989566656166,0.9999913482647678,0.999921827299097,0.9999413702027707
D3,0.9997847071244763,0.9998187340187372,0.9933777523776266,0.9974241699080397
D4,0.9999990267011097,0.9999990983503448,0.9999744353939362,0.9999826526667441
D5,0.9999623266688304,0.9999714557528233,0.9998488324161564,0.999884980834983
