cluster,silhouette_width
1,0.4625321183862193
1,0.05750761275517842
1,0.5733163489766963
1,0.50464284475781
1,0.3878050775352578
1,0.5713428818704119
1,0.40640244283949195
1,0.23193126299576924
1,0.4777370286771173
2,0.48623266248332175
3,0.20701646912906416
1,0.202276261577297
2,0.37599078090460153
3,0.4684178453365524
1,0.2767112382122041
1,0.43707304515119305
2,0.5169593045637334
3,0.33724312847345594
3,0.2708351151040309
1,0.5783263845351235
3,0.3826536155458911
1,0.5687826878603838
3,0.1419023520644918
1,0.27300471525677616
2,0.18932339282737046
