cluster,n,mean_silhouette,median_silhouette,min_silhouette,max_silhouette,n_negative,proportion_negative
1,15,0.4484225246257138,0.4778244234260185,0.07330900479967745,0.6291006618783495,0,0
2,4,0.5141523310435254,0.5569150052734853,0.314164498688496,0.6286148149386354,0,0
3,6,0.3455454857309096,0.3637790077274802,0.14094748692885625,0.5128309864738029,0,0
