domain,.y.,n,statistic,df,p,method
D1,value,25,17.799999999999997,2,1.3638892648201164e-4,Kruskal-Wallis
D2,value,25,15.733538461538473,2,3.832706230239253e-4,Kruskal-Wallis
D3,value,25,12.59661538461539,2,0.0018394150007139405,Kruskal-Wallis
D4,value,25,10.937230769230766,2,0.0042170671334973995,Kruskal-Wallis
D5,value,25,9.827384615384616,2,0.0073453170292637,Kruskal-Wallis
