cluster,wavenumber,median_absorbance,q25_absorbance,q75_absorbance,mean_absorbance,n
1,3399.008061647415,0.03015315718948841,0.02819336112588644,0.03832847997546196,0.03312067973117034,15
1,3397.0779037475586,0.030304545536637306,0.028320850804448128,0.0385260134935379,0.03328345778087775,15
1,3395.147745847702,0.03045411966741085,0.02844491694122553,0.038722554221749306,0.03344554404417674,15
1,3393.2175879478455,0.030602682381868362,0.028569418005645275,0.038918424397706985,0.03360789641737938,15
1,3391.287430047989,0.030750833451747894,0.028695371001958847,0.039114225655794144,0.03377128951251507,15
1,3389.3572721481323,0.03089815378189087,0.02882234938442707,0.039309680461883545,0.03393516267339389,15
1,3387.4271142482758,0.031044233590364456,0.02894934732466936,0.03950422443449497,0.034098581224679944,15
1,3385.496956348419,0.03119002655148506,0.029076370410621166,0.0396985188126564,0.03426201802988847,15
1,3383.5667984485626,0.03133757412433624,0.029204487800598145,0.0398944690823555,0.034427393103639285,15
1,3381.636640548706,0.03148878738284111,0.0293347155675292,0.040094053372740746,0.034596662347515426,15
1,3379.7064826488495,0.03164515271782875,0.02946755290031433,0.040298715233802795,0.03477104703585307,15
1,3377.776324748993,0.03180791065096855,0.029603570699691772,0.040509508922696114,0.034951326871911687,15
1,3375.8461668491364,0.03197743743658066,0.029743445105850697,0.04072682745754719,0.0351378525296847,15
1,3373.91600894928,0.03215242177248001,0.02988680638372898,0.04094954393804073,0.03532977576057116,15
1,3371.985851049423,0.03233065828680992,0.03003194648772478,0.04117543250322342,0.035525062059362726,15
1,3370.0556931495667,0.03251112252473831,0.030177637934684753,0.0414032731205225,0.035722254092494646,15
1,3368.12553524971,0.03269491717219353,0.030324832536280155,0.04163426347076893,0.03592204724748929,15
1,3366.1953773498535,0.03288959711790085,0.030475961975753307,0.04187118448317051,0.0361266748358806,15
1,3364.265219449997,0.0330972820520401,0.030632738023996353,0.04211639054119587,0.036337867751717566,15
1,3362.3350615501404,0.03331063687801361,0.030795054510235786,0.04237045720219612,0.03655557371675968,15
1,3360.404903650284,0.03352763131260872,0.030961827374994755,0.04263230971992016,0.03677838978668054,15
1,3358.4747457504272,0.03374601528048515,0.03113213274627924,0.04290013015270233,0.037004708871245386,15
1,3356.5445878505707,0.03396430239081383,0.03130527213215828,0.04317169263958931,0.03723312132060528,15
1,3354.614429950714,0.03418101742863655,0.03148017916828394,0.04344417527318001,0.037461913749575616,15
1,3352.6842720508575,0.03439401462674141,0.03165534697473049,0.04371420294046402,0.037688704455892244,15
1,3350.754114151001,0.03460092842578888,0.031829386949539185,0.0439781304448843,0.037910819674531616,15
1,3348.8239562511444,0.034799136221408844,0.03200113773345947,0.044232143089175224,0.03812557831406593,15
1,3346.893798351288,0.03498465195298195,0.032168615609407425,0.044471779838204384,0.03832966846724351,15
1,3344.9636404514313,0.03515195474028587,0.0323282852768898,0.044691747054457664,0.03851871540149053,15
1,3343.0334825515747,0.03531897813081741,0.0324765108525753,0.04488729313015938,0.038688709711035094,15
1,3341.103324651718,0.03548838198184967,0.03261144272983074,0.04505590908229351,0.03883795142173767,15
1,3339.1731667518616,0.03564583882689476,0.03273281082510948,0.045197004452347755,0.03896685689687729,15
1,3337.243008852005,0.03579235449433327,0.03284059464931488,0.04531077668070793,0.03907634864250819,15
1,3335.3128509521484,0.03592884540557861,0.032934583723545074,0.04539790749549866,0.039167050768931705,15
1,3333.382693052292,0.03605584055185318,0.033014824613928795,0.0454593226313591,0.03923929358522097,15
1,3331.4525351524353,0.03617315739393234,0.033082203939557076,0.04549599066376686,0.03929347383479277,15
1,3329.5223772525787,0.03628060221672058,0.03313850611448288,0.04550958052277565,0.03933085339764754,15
1,3327.592219352722,0.036290813237428665,0.033185893669724464,0.04550320468842983,0.03935402656594912,15
1,3325.6620614528656,0.03627897426486015,0.03322683274745941,0.04548135958611965,0.039366561298569046,15
1,3323.731903553009,0.036252886056900024,0.03326421417295933,0.045449502766132355,0.03937244278689225,15
1,3321.8017456531525,0.036216504871845245,0.033300887793302536,0.04541362076997757,0.03937568825980028,15
1,3319.871587753296,0.036173924803733826,0.03333914652466774,0.0453795250505209,0.039379965017239255,15
1,3317.9414298534393,0.0361284576356411,0.03338049724698067,0.04535171017050743,0.03938806007305781,15
1,3316.0112719535828,0.0360824391245842,0.033425793051719666,0.04533299431204796,0.03940176082154115,15
1,3314.081114053726,0.036037907004356384,0.03345830366015434,0.045325495302677155,0.039422555516163506,15
1,3312.1509561538696,0.035997096449136734,0.03349030390381813,0.0453313272446394,0.03945213767389456,15
1,3310.220798254013,0.035961829125881195,0.03353016451001167,0.04535185731947422,0.039491705720623334,15
1,3308.2906403541565,0.03593313694000244,0.03357781656086445,0.04538683407008648,0.03954102906088034,15
1,3306.3604824543,0.03591148555278778,0.03363202325999737,0.045434458181262016,0.039598429948091506,15
1,3304.4303245544434,0.035896383225917816,0.03369087353348732,0.045491838827729225,0.03966137493650119,15
1,3302.500166654587,0.03588596358895302,0.03375222347676754,0.045555656775832176,0.03972714034219583,15
1,3300.57000875473,0.03587823361158371,0.03381413780152798,0.045623091980814934,0.039793485899766286,15
1,3298.6398508548737,0.035872749984264374,0.03387506864964962,0.04569236561655998,0.03985906826953093,15
1,3296.709692955017,0.03587064519524574,0.03393374942243099,0.04576222412288189,0.03992331127325694,15
1,3294.7795350551605,0.03587312251329422,0.03398904949426651,0.04583081416785717,0.03998565264046192,15
1,3292.849377155304,0.03587992489337921,0.0340399444103241,0.04589540883898735,0.04004486836493015,15
1,3290.9192192554474,0.03588923439383507,0.0340857170522213,0.04595319181680679,0.04009917552272479,15
1,3288.989061355591,0.035898465663194656,0.03412563167512417,0.04600134119391441,0.040146388486027716,15
