participant_id,D1,D2,D3,D4,D5,cluster
1,0.6001929996497759,-0.5798485667655664,-0.5290965274136374,-0.7890190319662563,-0.23638417623269278,1
10,0.32523577693615396,-0.8481663788218148,-0.7415982327961633,-0.5794813140445322,0.3481097411617025,1
11,0.6465378238912856,-0.5332097097706977,-0.5288214682970922,-0.8172524823862286,-0.08396209834410387,1
12,0.4320371020956316,-0.5087608143651553,-0.5548603050890432,-0.8064149689876946,-0.034097145134439906,1
13,0.5556033339762569,-0.7352085211991644,-0.6780632070055818,-0.614887195011124,0.026211005703447362,1
14,0.6605742283019279,-0.5224052322444671,-0.5380707044270077,-0.8093381343009212,0.056459756907011036,1
15,0.31374881453179115,-0.368757964405177,-0.3586334649499971,-0.9432189087511882,-0.09099108050581615,1
16,0.18679676458677724,-0.5414562812338228,-0.6646050510147917,-0.6955298295350364,0.3446659596605667,1
17,0.917849336328137,-0.38400212604699807,-0.41495348310820845,-1.0092439047327162,-0.1526057135894298,1
18,-0.2586399486883419,-0.7499263881743335,-0.6322775781538343,-0.15073069184823476,0.1697979493107858,2
19,-0.1819467848725722,-0.3493873199696096,-0.37195780891804253,-0.8440622427934249,0.25268570913242183,3
2,0.3843834206380434,-0.7632485480695828,-0.7318839433216517,-0.6294525489599065,0.09881141989738713,1
20,0.1553346162744433,-0.8218925253043425,-0.6861424718132582,-0.17949129685994092,0.24678223704824048,2
21,-0.7399368256948039,-0.116129792804617,-0.09327108193609142,-0.8479838723183771,0.6136133971907243,3
22,0.41779944592314044,-0.6727956705906462,-0.7510088771378528,-0.6624660447323931,0.15255374650550607,1
23,0.2760612260651626,-0.5231907928308038,-0.4921989895687533,-0.8677109463358129,0.2652358766042415,1
24,-0.2710631104355741,-0.7538530818892507,-0.5411539643941152,0.23349347998242628,0.20355323158646088,2
25,-0.4043715771102579,-0.32593673007215934,-0.39791835705051437,-0.737374188743028,0.4321969268384727,3
3,-0.5475702676069838,0.19278996208883736,1.3014491317001191,-1.0634951037352036,0.18105234338979506,3
4,0.6095532699739608,-0.49002343995557524,-0.4842539259480021,-0.8480644709652566,-0.09087408113375293,1
5,-0.4669872459788727,-0.16339770024422481,-0.13292541189184862,-1.038093509123201,0.5386777824340409,3
6,0.6296623169173968,-0.5864235635664946,-0.5593559240905612,-0.8650274342161667,0.09895101101434389,1
7,-0.2307908249861777,-0.39286306087114925,-0.39455385681725014,-0.6979922534102091,0.29429188428770514,3
8,0.3294998963631985,-0.6464097871834541,-0.6404168536220821,-0.6138960682031354,0.2452461525505859,1
9,0.18636682388471748,-0.7743856388888297,-0.7411499334204944,-0.40406941765639126,0.17537503905406207,2
