sample_1,sample_2,baseline_same_cluster,consensus
1,10,TRUE,0.3937007874015748
1,11,TRUE,1
10,11,TRUE,0.40186915887850466
1,12,TRUE,0.9984251968503937
10,12,TRUE,0.4440993788819876
11,12,TRUE,0.9968152866242038
1,13,TRUE,0.5808
10,13,TRUE,0.8954041204437401
11,13,TRUE,0.5854430379746836
12,13,TRUE,0.6122448979591837
1,14,TRUE,0.9984
10,14,TRUE,0.3984251968503937
11,14,TRUE,0.9984076433121019
12,14,TRUE,0.9968602825745683
13,14,TRUE,0.5850556438791733
1,15,TRUE,1
10,15,TRUE,0.4015625
11,15,TRUE,1
12,15,TRUE,0.9984202211690363
13,15,TRUE,0.5734597156398105
14,15,TRUE,0.9983974358974359
1,16,TRUE,0.4618973561430793
10,16,TRUE,0.9984639016897081
11,16,TRUE,0.47360248447204967
12,16,TRUE,0.5038402457757296
13,16,TRUE,0.9028213166144201
14,16,TRUE,0.47987616099071206
15,16,TRUE,0.47751937984496123
1,17,TRUE,1
10,17,TRUE,0.3726993865030675
11,17,TRUE,1
12,17,TRUE,0.9968847352024922
13,17,TRUE,0.552099533437014
14,17,TRUE,1
15,17,TRUE,1
16,17,TRUE,0.4398782343987823
1,18,FALSE,0
10,18,FALSE,0.48205928237129486
11,18,FALSE,0
12,18,FALSE,0
13,18,FALSE,0.32761310452418096
14,18,FALSE,0
15,18,FALSE,0
16,18,FALSE,0.4162826420890937
17,18,FALSE,0
1,19,FALSE,0.0180623973727422
10,19,FALSE,0.16612903225806452
11,19,FALSE,0.0165016501650165
12,19,FALSE,0.01938610662358643
13,19,FALSE,0.09238249594813615
14,19,FALSE,0.01948051948051948
15,19,FALSE,0.01594896331738437
16,19,FALSE,0.16927899686520376
17,19,FALSE,0.014308426073131956
18,19,FALSE,0.21990369181380418
1,2,TRUE,0.4448
10,2,TRUE,0.9984177215189873
11,2,TRUE,0.46474358974358976
12,2,TRUE,0.4883720930232558
13,2,TRUE,0.9871382636655949
14,2,TRUE,0.454983922829582
15,2,TRUE,0.4513556618819777
16,2,TRUE,0.9968944099378882
17,2,TRUE,0.4206471494607088
18,2,FALSE,0.435126582278481
19,2,FALSE,0.13452188006482982
1,20,FALSE,0.025078369905956112
10,20,FALSE,0.6345256609642301
11,20,FALSE,0.028391167192429023
12,20,FALSE,0.03571428571428571
13,20,FALSE,0.46529968454258674
14,20,FALSE,0.029411764705882353
15,20,FALSE,0.023474178403755867
16,20,FALSE,0.5555555555555556
17,20,FALSE,0.009316770186335404
18,20,TRUE,0.9485981308411215
19,20,FALSE,0.14832535885167464
2,20,FALSE,0.590625
1,21,FALSE,0
10,21,FALSE,0
11,21,FALSE,0
12,21,FALSE,0
13,21,FALSE,0
14,21,FALSE,0
15,21,FALSE,0
16,21,FALSE,0
17,21,FALSE,0
18,21,FALSE,0.01098901098901099
19,21,TRUE,0.8213716108452951
2,21,FALSE,0
20,21,FALSE,0
1,22,TRUE,0.4703125
10,22,TRUE,0.9984423676012462
11,22,TRUE,0.48746081504702193
12,22,TRUE,0.5269645608628659
13,22,TRUE,0.9145569620253164
14,22,TRUE,0.478806907378336
15,22,TRUE,0.48085758039816234
16,22,TRUE,1
17,22,TRUE,0.44907407407407407
18,22,FALSE,0.41112828438948995
19,22,FALSE,0.1527331189710611
2,22,TRUE,1
